date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:04	137503/137503	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:20%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Rasenheizung_Stadion.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Rasenheizung_Stadion.jpg	(from https://www.hemstedt.de/en/)
09:31:04	128023/128023	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:32%20GMT	https://www.hemstedt.de/fileadmin/user_upload/ATEX_Heizleitungen.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/ATEX_Heizleitungen.jpg	(from https://www.hemstedt.de/en/)
09:31:04	37454/37454	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:04%20GMT	https://www.hemstedt.de/en/company/environment-and-sustainability/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/company/environment-and-sustainability/index.html	(from https://www.hemstedt.de/en/)
09:31:04	57210/57210	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:29%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Frostschutz_Leitungen.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Frostschutz_Leitungen.jpg	(from https://www.hemstedt.de/en/)
09:31:04	108605/108605	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:25%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Freiflaechenheizung.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Freiflaechenheizung.jpg	(from https://www.hemstedt.de/en/)
09:31:04	30840/30840	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:05%20GMT	https://www.hemstedt.de/en/unternehmen/umwelt-und-nachhaltigkeit/soziale-nachhaltigkeit/oekonomische-nachhaltigkeit/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/unternehmen/umwelt-und-nachhaltigkeit/soziale-nachhaltigkeit/oekonomische-nachhaltigkeit/index.html	(from https://www.hemstedt.de/en/)
09:31:05	82392/82392	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:20%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Dachrinnenheizung.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Dachrinnenheizung.jpg	(from https://www.hemstedt.de/en/)
09:31:05	126991/126991	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:21%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Heizen_Und_Klimaschutz.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Heizen_Und_Klimaschutz.jpg	(from https://www.hemstedt.de/en/)
09:31:05	112590/112590	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:32%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Betonheizmatten.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Betonheizmatten.jpg	(from https://www.hemstedt.de/en/)
09:31:05	32720/32720	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:06%20GMT	https://www.hemstedt.de/en/unternehmen/umwelt-und-nachhaltigkeit/soziale-nachhaltigkeit/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/unternehmen/umwelt-und-nachhaltigkeit/soziale-nachhaltigkeit/index.html	(from https://www.hemstedt.de/en/)
09:31:05	177571/177571	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:31%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Photovoltaik.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Photovoltaik.jpg	(from https://www.hemstedt.de/en/)
09:31:06	29925/29925	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:27%20GMT	https://www.hemstedt.de/fileadmin/user_upload/300_KinderAufGreen.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/300_KinderAufGreen.jpg	(from https://www.hemstedt.de/en/)
09:31:06	30226/30226	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:06%20GMT	https://www.hemstedt.de/en/unternehmen/umwelt-und-nachhaltigkeit/soziale-nachhaltigkeit/spenden/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/unternehmen/umwelt-und-nachhaltigkeit/soziale-nachhaltigkeit/spenden/index.html	(from https://www.hemstedt.de/en/)
